,cad_recursive_linear_residue,aud_recursive_linear_residue,gbp_recursive_linear_residue
2012-08-29,-0.0011690376114302182,-0.002354461145376569,0.0008996713636202248
2012-08-30,-0.0030543405584943905,-0.006046754645651334,-0.0029978031177965415
2012-08-31,0.006250569523746197,0.0032597960520825055,0.005288371416658853
2012-09-03,0.0004119924670830911,-0.0073325344903047065,0.0011561137129958452
2012-09-04,1.7554043667243112e-05,-0.0019940638689248894,-0.0009818300217679114
2012-09-05,-0.004626952551333973,-0.0030768720233693755,0.0021163077988423096
2012-09-06,0.008008520454604396,0.008945698936587405,0.001885305571539595
2012-09-07,0.0040381527424789634,0.009830787643652783,0.004888738285950447
2012-09-10,0.0009957405640010945,-0.004768644475123736,-0.0013457803401410548
2012-09-11,0.004699575862364334,0.009591131185689617,0.005100740510438399
2012-09-12,-0.00310135686669118,0.0031198230690351724,0.0022004160008109595
2012-09-13,0.007990372163845787,0.007767171063681305,0.00296658723949756
2012-09-14,-0.002989091934037239,0.0004368025846980799,0.0037987400160314584
2012-09-17,-0.0034854173305098775,-0.007076095795269273,0.002033944712420294
2012-09-18,0.0006022354089883777,-0.0017576963097935636,-0.0004329933818885385
2012-09-19,-0.00027474390745656544,0.002254687995664568,-0.0012726697884707715
2012-09-20,-0.0024215905384720182,-0.004149691899193857,-0.000317985357763617
2012-09-21,0.0005058591463920107,0.0021634882106770555,0.0010072620101631634
2012-09-24,-0.0023284880880850498,-0.0031028483618535958,-0.0006408858500986033
2012-09-25,-0.0019416942319749918,-0.003305342854508975,-0.0018222780804015134
2012-09-26,-0.005094529444798596,-0.0017727357843186579,-0.001289470670899837
2012-09-27,0.005129637532133082,0.006880305099983752,0.004436848549117786
2012-09-28,-0.0032236215089868764,-0.006090334323592491,-0.004274166874360127
2012-10-01,0.0015903450884160108,-0.001581803956712995,-0.002082229843197394
2012-10-02,-0.0019488215776470896,-0.009056269233566892,0.0003929884527425646
2012-10-03,-0.0034329349123597315,-0.004922129867369214,-0.0035415574314086686
2012-10-04,0.007298900786175282,0.0025017720822825464,0.0073170611898582495
2012-10-05,0.0017807046620480981,-0.005229253766151123,-0.003573832608941141
2012-10-08,0.0017776014326034153,0.00035206934592431176,-0.006595661966868331
2012-10-09,-0.0013511039077873756,0.0015285687463949312,-0.0012029741833477399
2012-10-10,-0.003608656623651476,0.0028953338403122763,0.00030587836563040235
2012-10-11,0.0033502369949701787,0.0029847366496553365,0.0024954658832689854
2012-10-12,-0.001549383893236715,-0.0029672154894966104,0.0016678089406117452
2012-10-15,-0.0006687541356317666,0.0020101733025560207,-5.0517899607729426e-05
2012-10-16,-0.005983152566238404,0.0022010344135643,0.0025560857335073166
2012-10-17,0.009054055963579498,0.01051371265823872,0.0023405624115824465
2012-10-18,-0.007638549313527407,-0.0015810138345819184,-0.006534114432120829
2012-10-19,-0.008392924464929116,-0.0033245161809863037,-0.0022091881568492193
2012-10-22,0.0015069054583234525,-0.001007704094671361,0.000901446686246195
2012-10-23,-0.000280138838709828,-0.005286089863299632,-0.0038983449461166865
2012-10-24,-0.0010747453549418094,0.008883631137614619,0.0055144222242252405
2012-10-25,-0.0012748853667416766,-0.0008118195472575727,0.004865536582679296
2012-10-26,-0.0020737677363303893,0.002567273546097799,-0.0009057414167108677
2012-10-29,-0.004078151197218813,-0.0039027814968769312,-0.004385469290045394
2012-10-30,0.0017178094915240424,0.00324649037336913,0.0027102648569693488
2012-10-31,-8.238099863847235e-05,0.0011183208456201545,0.0034625535250362516
2012-11-01,0.0030112694818299115,0.0024641280760734612,1.340064546399123e-05
2012-11-02,0.0006152231520050774,-0.0061146440654281185,-0.006714476820587678
2012-11-05,-0.0004804787371832026,0.00276267402061532,-0.002329295435580569
2012-11-06,0.0042925518552265176,0.00678841436064148,0.0012820806019928374
2012-11-07,-0.00475572470899035,-0.00253317959973986,-0.0007200738451022574
2012-11-08,-0.003477381861854038,-0.00023066164538616298,3.0759910406381435e-05
